,Name,Networth,Country,Source,Rank,Age,Industry
63,R. Budi Hartono ,$23.2 B,Indonesia,"banking, tobacco",64,81,Finance & Investments 
64,Leonard Lauder ,$23.1 B,United States,Estee Lauder,65,89,Fashion & Retail 
65,Guillaume Pousaz ,$23 B,Switzerland,fintech,66,40,Finance & Investments 
66,Iris Fontbona & family ,$22.8 B,Chile,mining,67,79,Metals & Mining 
67,Jack Ma ,$22.8 B,China,e-commerce,67,57,Technology 
68,Michael Hartono ,$22.3 B,Indonesia,"banking, tobacco",69,82,Manufacturing 
69,Eric Schmidt ,$22.1 B,United States,Google,70,66,Technology 
70,Ray Dalio ,$22 B,United States,hedge funds,71,72,Finance & Investments 
71,Daniel Gilbert ,$22 B,United States,Quicken Loans,71,60,Finance & Investments 
72,"Thomas Frist, Jr. & family ",$21.8 B,United States,hospitals,73,83,Healthcare 
73,Masayoshi Son ,$21.3 B,Japan,"internet, telecom",74,64,Telecom 
74,Abigail Johnson ,$21.2 B,United States,money management,75,60,Finance & Investments 
75,Rupert Murdoch & family ,$20.8 B,United States,"newspapers, TV network",76,91,Media & Entertainment 
76,Stefan Quandt ,$20.7 B,Germany,BMW,77,55,Automotive 
77,Jensen Huang ,$20.6 B,United States,semiconductors,78,59,Technology 
78,Huang Shilin ,$20.3 B,China,batteries,79,55,Automotive 
79,Thomas Peterffy ,$20.1 B,United States,discount brokerage,80,77,Finance & Investments 
80,Radhakishan Damani ,$20 B,India,"retail, investments",81,67,Fashion & Retail 
81,Pang Kang ,$19.6 B,China,soy sauce,82,66,Food & Beverage 
82,Wang Chuanfu ,$19.5 B,China,"batteries, automobiles",83,56,Automotive 
83,Reinhold Wuerth & family ,$19 B,Germany,fasteners,84,86,Manufacturing 
84,"Theo Albrecht, Jr. & family ",$18.7 B,Germany,"Aldi, Trader Joe's",85,71,Fashion & Retail 
85,Yang Huiyan & family ,$18.7 B,China,real estate,85,40,Real Estate 
86,Vladimir Lisin ,$18.4 B,Russia,"steel, transport",87,65,Metals & Mining 
87,Fan Hongwei & family ,$18.2 B,China,petrochemicals,88,55,Energy 
88,Lakshmi Mittal ,$17.9 B,India,steel,89,71,Metals & Mining 
89,Andrew Forrest ,$17.8 B,Australia,mining,90,60,Metals & Mining 
90,Jiang Rensheng & family ,$17.7 B,China,vaccines,91,68,Healthcare 
91,Savitri Jindal & family ,$17.7 B,India,steel,91,72,Metals & Mining 
92,Wang Wenyin ,$17.7 B,China,"mining, copper products",91,54,Metals & Mining 
93,Li Xiting ,$17.6 B,Singapore,medical devices,94,71,Healthcare 
94,Stefan Persson ,$17.6 B,Sweden,H&M,94,74,Fashion & Retail 
95,Steve Cohen ,$17.4 B,United States,hedge funds,96,65,Finance & Investments 
96,Vladimir Potanin ,$17.3 B,Russia,metals,97,61,Metals & Mining 
97,Harold Hamm & family ,$17.2 B,United States,oil & gas,98,76,Energy 
98,Sun Piaoyang ,$17.1 B,China,pharmaceuticals,99,63,Healthcare 
99,Luo Liguo & family ,$17 B,China,chemicals,100,66,Manufacturing 
100,Peter Woo ,$17 B,Hong Kong,real estate,100,75,Real Estate 
101,Gianluigi & Rafaela Aponte ,$16.8 B,Switzerland,Shipping,102,81,Logistics 
102,David Tepper ,$16.7 B,United States,hedge funds,103,64,Finance & Investments 
103,Renata Kellnerova & family ,$16.6 B,Czechia,"finance, telecommunications",104,54,Finance & Investments 
104,"John Menard, Jr. ",$16.6 B,United States,home improvement stores,104,82,Fashion & Retail 
105,Kumar Birla ,$16.5 B,India,commodities,106,54,Diversified 
106,Carl Icahn ,$16.5 B,United States,investments,106,86,Finance & Investments 
107,Hank & Doug Meijer ,$16.5 B,United States,supermarkets,106,64,Fashion & Retail 
108,Lukas Walton ,$16.5 B,United States,Walmart,106,35,Fashion & Retail 
109,Laurene Powell Jobs & family ,$16.4 B,United States,"Apple, Disney",110,58,Technology 
110,James Ratcliffe ,$16.3 B,United Kingdom,chemicals,111,69,Manufacturing 
111,Donald Bren ,$16.2 B,United States,real estate,112,89,Real Estate 
112,Xu Hang ,$16.1 B,Hong Kong,medical devices,113,55,Healthcare 
113,Lu Xiangyang ,$15.7 B,China,"automobiles, batteries",114,59,Automotive 
114,Dilip Shanghvi ,$15.6 B,India,pharmaceuticals,115,66,Healthcare 
115,Wei Jianjun & family ,$15.5 B,China,automobiles,116,58,Automotive 
116,Jorge Paulo Lemann & family ,$15.4 B,Brazil,beer,117,82,Food & Beverage 
117,Eyal Ofer ,$15.4 B,Israel,"real estate, shipping",117,71,Diversified 
118,Mike Cannon-Brookes ,$15.3 B,Australia,software,119,42,Technology 
119,Wu Yajun ,$15.3 B,China,real estate,119,58,Real Estate 
120,Charlene de Carvalho-Heineken & family ,$15.2 B,Netherlands,Heineken,121,67,Food & Beverage 
121,Michael Platt ,$15.2 B,United Kingdom,hedge funds,121,54,Finance & Investments 
122,Pavel Durov ,$15.1 B,Russia,messaging app,123,37,Technology 
123,Scott Farquhar ,$15.1 B,Australia,software,123,42,Technology 
124,Pallonji Mistry ,$15 B,Ireland,construction,125,92,Construction & Engineering 
125,Dang Yanbao ,$14.8 B,China,coal,126,49,Metals & Mining 
126,Robert Pera ,$14.6 B,United States,wireless networking gear,127,44,Technology 
127,Donald Newhouse ,$14.4 B,United States,media,128,92,Media & Entertainment 
128,Uday Kotak ,$14.3 B,India,banking,129,63,Finance & Investments 
129,Aliko Dangote ,$14 B,Nigeria,"cement, sugar",130,64,Manufacturing 
130,Leonid Mikhelson ,$14 B,Russia,"gas, chemicals",130,66,Energy 
131,Sunil Mittal & family ,$13.9 B,India,telecom,132,64,Telecom 
132,Robert & Philip Ng ,$13.7 B,Singapore,real estate,133,64,Real Estate 
133,Liu Hanyuan ,$13.65 B,China,agribusiness,134,58,Food & Beverage 
134,Joseph Lau ,$13.6 B,Hong Kong,real estate,135,70,Real Estate 
135,Anders Holch Povlsen ,$13.6 B,Denmark,fashion retail,135,49,Fashion & Retail 
136,Dhanin Chearavanont ,$13.5 B,Thailand,diversified,137,82,Diversified 
137,Gong Hongjia & family ,$13.2 B,Hong Kong,video surveillance,138,57,Finance & Investments 
138,Liu Yongxing ,$13.2 B,China,diversified,138,73,Service 
139,Alexey Mordashov ,$13.2 B,Russia,"steel, investments",138,56,Metals & Mining 
140,Wang Jianlin ,$13.2 B,China,real estate,138,67,Real Estate 
141,David Duffield ,$12.9 B,United States,business software,142,81,Technology 
142,Li Zhenguo & family ,$12.9 B,China,solar wafers and modules,142,54,Manufacturing 
143,Harry Triguboff ,$12.8 B,Australia,real estate,144,89,Real Estate 
144,Zhang Zhidong ,$12.8 B,China,internet media,144,50,Technology 
145,Chen Bang ,$12.7 B,China,hospitals,146,56,Healthcare 
146,John Doerr ,$12.7 B,United States,venture capital,146,70,Technology 
147,Hinduja brothers ,$12.7 B,United Kingdom,diversified,146,64,Diversified 
148,Kwong Siu-hing ,$12.6 B,Hong Kong,real estate,149,92,Real Estate 
149,Pei Zhenhua ,$12.5 B,China,batteries,150,63,Energy 
150,Ricardo Salinas Pliego & family ,$12.4 B,Mexico,"retail, media",151,66,Fashion & Retail 
151,Jim Pattison ,$12.2 B,Canada,diversified,152,93,Diversified 
152,Charles Schwab ,$12.2 B,United States,discount brokerage,152,84,Finance & Investments 
153,Goh Cheng Liang ,$12.1 B,Singapore,paints,154,94,Manufacturing 
154,Lin Jianhua & family ,$12.1 B,China,solar panel components,154,59,Manufacturing 
155,Charoen Sirivadhanabhakdi ,$12 B,Thailand,"alcohol, real estate",156,77,Food & Beverage 
156,Jeff Yass ,$12 B,United States,"trading, investments",156,63,Finance & Investments 
157,John Fredriksen ,$11.9 B,Cyprus,shipping,158,77,Logistics 
158,Andreas Struengmann & family ,$11.9 B,Germany,pharmaceuticals,158,72,Healthcare 
159,Thomas Struengmann & family ,$11.9 B,Germany,pharmaceuticals,158,72,Healthcare 
160,Mikhail Fridman ,$11.8 B,Russia,"oil, banking, telecom",161,57,Energy 
161,Sarath Ratanavadi ,$11.8 B,Thailand,energy,161,56,Energy 
162,Robert Kuok ,$11.7 B,Malaysia,"palm oil, shipping, property",163,98,Diversified 
163,Lei Jun ,$11.7 B,China,smartphones,163,52,Technology 
164,Zhang Congyuan ,$11.7 B,Taiwan,shoes,163,74,Fashion & Retail 
165,Lui Che Woo ,$11.6 B,Hong Kong,casinos/hotels,166,93,Gambling & Casinos 
166,Brian Chesky ,$11.5 B,United States,Airbnb,167,40,Technology 
167,Israel Englander ,$11.5 B,United States,hedge funds,167,73,Finance & Investments 
168,Dustin Moskovitz ,$11.5 B,United States,Facebook,167,37,Technology 
169,Alisher Usmanov ,$11.5 B,Russia,"steel, telecom, investments",167,68,Metals & Mining 
170,Jay Chaudhry ,$11.4 B,United States,security software,171,62,Technology 
171,Anthony Pratt ,$11.4 B,Australia,manufacturing,171,61,Manufacturing 
172,Colin Zheng Huang ,$11.3 B,China,e-commerce,173,42,Technology 
173,Jin Baofang ,$11.3 B,China,solar panels,173,69,Energy 
174,Pierre Omidyar ,$11.3 B,United States,"eBay, PayPal",173,54,Technology 
175,Gennady Timchenko ,$11.3 B,Russia,"oil, gas",173,69,Energy 
176,Carl Cook ,$11.1 B,United States,medical devices,177,59,Healthcare 
177,Andrey Melnichenko ,$11.1 B,Russia,"coal, fertilizers",177,50,Metals & Mining 
178,Xing Wang ,$11 B,China,e-commerce,179,43,Technology 
179,Philip Anschutz ,$10.9 B,United States,investments,180,82,Finance & Investments 
180,David Cheriton ,$10.9 B,Canada,Google,180,71,Technology 
181,Alexander Otto ,$10.9 B,Germany,real estate,180,54,Real Estate 
182,Diane Hendricks ,$10.7 B,United States,roofing,183,75,Construction & Engineering 
183,Stanley Kroenke ,$10.7 B,United States,"sports, real estate",183,74,Sports 
184,Jerry Jones ,$10.6 B,United States,Dallas Cowboys,185,79,Sports 
185,Quek Leng Chan ,$10.6 B,Malaysia,"banking, property",185,80,Diversified 
186,Eduardo Saverin ,$10.6 B,Brazil,Facebook,185,40,Technology 
187,Vagit Alekperov ,$10.5 B,Russia,oil,188,71,Energy 
188,Richard Liu ,$10.5 B,China,e-commerce,188,48,Technology 
189,Idan Ofer ,$10.5 B,Israel,"drilling, shipping",188,66,Diversified 
190,Melker Schorling & family ,$10.4 B,Sweden,investments,191,74,Finance & Investments 
191,"Chase Coleman, III. ",$10.3 B,United States,investments,192,46,Finance & Investments 
192,Shuirong Li ,$10.3 B,China,petrochemicals,192,65,Manufacturing 
193,Stefano Pessina ,$10.3 B,Monaco,drugstores,192,80,Fashion & Retail 
194,Mikhail Prokhorov ,$10.3 B,Russia,investments,192,56,Finance & Investments 
195,Marcel Herrmann Telles ,$10.3 B,Brazil,beer,192,72,Food & Beverage 
196,Leon Black ,$10 B,United States,private equity,197,70,Finance & Investments 
197,Joe Gebbia ,$10 B,United States,Airbnb,197,40,Technology 
198,David Geffen ,$10 B,United States,"movies, record labels",197,79,Media & Entertainment 
199,Yu Renrong ,$10 B,China,semiconductors,197,56,Manufacturing 
200,Andrew Beal ,$9.9 B,United States,"banks, real estate",201,69,Finance & Investments 
201,George Kaiser ,$9.9 B,United States,"oil & gas, banking",201,79,Energy 
202,Qi Shi & family ,$9.9 B,China,financial information,201,52,Technology 
203,Luis Carlos Sarmiento ,$9.9 B,Colombia,banking,201,89,Finance & Investments 
204,Andreas von Bechtolsheim & family ,$9.9 B,Germany,Google,201,66,Technology 
205,Jan Koum ,$9.8 B,United States,WhatsApp,206,46,Technology 
206,Jorge Moll Filho & family ,$9.8 B,Brazil,hospitals,206,77,Healthcare 
207,Azim Premji ,$9.8 B,India,software services,206,76,Technology 
208,Finn Rausing ,$9.8 B,Sweden,packaging,206,67,Food & Beverage 
209,Jorn Rausing ,$9.8 B,Sweden,packaging,206,62,Food & Beverage 
210,Kirsten Rausing ,$9.8 B,Sweden,packaging,206,69,Food & Beverage 
211,Wang Laisheng ,$9.8 B,China,electronics components,206,57,Technology 
212,Tom & Judy Love ,$9.7 B,United States,retail & gas stations,213,64,Fashion & Retail 
213,John Collison ,$9.5 B,Ireland,payments software,214,31,Technology 
214,Patrick Collison ,$9.5 B,Ireland,payment software,214,33,Technology 
215,Gordon Moore ,$9.5 B,United States,Intel,214,93,Technology 
216,Wang Laichun ,$9.5 B,China,electronics components,214,54,Technology 
217,Graeme Hart ,$9.4 B,New Zealand,investments,218,66,Finance & Investments 
218,Zheng Shuliang & family ,$9.4 B,China,aluminum products,218,76,Metals & Mining 
219,Cao Renxian ,$9.3 B,China,photovoltaic equipment,220,53,Energy 
220,Nathan Blecharczyk ,$9.2 B,United States,Airbnb,221,38,Technology 
221,James Dyson ,$9.2 B,United Kingdom,vacuums,221,74,Manufacturing 
222,Ivan Glasenberg ,$9.1 B,Switzerland,mining,223,65,Metals & Mining 
223,Kim Beom-su ,$9.1 B,South Korea,online services,223,56,Technology 
224,Jay Y. Lee ,$9.1 B,South Korea,Samsung,223,53,Diversified 
225,Liu Yonghao & family ,$9.1 B,China,agribusiness,223,70,Service 
226,Ann Walton Kroenke ,$9 B,United States,Walmart,227,73,Fashion & Retail 
227,Li Ping ,$9 B,Hong Kong,batteries,227,54,Automotive 
228,Eric Wittouck ,$9 B,Belgium,investments,227,75,Finance & Investments 
229,Ian & Richard Livingstone ,$8.9 B,United Kingdom,real estate,230,64,Real Estate 
230,Friedhelm Loh ,$8.9 B,Germany,manufacturing,230,75,Manufacturing 
231,Xavier Niel ,$8.9 B,France,"internet, telecom",230,54,Telecom 
232,Michael Otto ,$8.9 B,Germany,"retail, real estate",230,78,Fashion & Retail 
233,Johann Rupert & family ,$8.9 B,South Africa,luxury goods,230,71,Fashion & Retail 
234,Hui Ka Yan ,$8.8 B,China,real estate,235,63,Real Estate 
235,Pauline MacMillan Keinath ,$8.8 B,United States,Cargill,235,88,Food & Beverage 
236,"Herbert Kohler, Jr. & family ",$8.8 B,United States,plumbing fixtures,235,83,Manufacturing 
237,Li Ge ,$8.8 B,United States,pharmaceutical ingredients,235,55,Healthcare 
238,Kushal Pal Singh ,$8.8 B,India,real estate,235,90,Real Estate 
239,Zong Qinghou ,$8.8 B,China,beverages,235,76,Food & Beverage 
240,Cai Kui ,$8.7 B,China,real estate,241,59,Real Estate 
241,Charles Ergen ,$8.7 B,United States,satellite TV,241,69,Media & Entertainment 
242,Gao Jifan & family ,$8.7 B,China,solar equipment,241,57,Energy 
243,Bernard Marcus ,$8.7 B,United States,Home Depot,241,92,Fashion & Retail 
244,Nicky Oppenheimer & family ,$8.7 B,South Africa,diamonds,241,76,Metals & Mining 
245,Bajaj brothers ,$8.6 B,India,diversified,246,64,Diversified 
246,"Ernest Garcia, II. ",$8.6 B,United States,used cars,246,64,Automotive 
247,Paul Xiaoming Lee & family ,$8.6 B,United States,packaging,246,64,Manufacturing 
248,George Soros ,$8.6 B,United States,hedge funds,246,91,Finance & Investments 
249,Wang Liping & family ,$8.6 B,China,hydraulic machinery,246,56,Manufacturing 
250,Ernesto Bertarelli ,$8.5 B,Switzerland,"biotech, investments",251,56,Healthcare 
251,Tamara Gustavson ,$8.5 B,United States,self storage,251,60,Service 
252,Carlos Alberto Sicupira & family ,$8.5 B,Brazil,beer,251,74,Food & Beverage 
253,Laurent Dassault ,$8.4 B,France,diversified,254,68,Diversified 
254,Thierry Dassault ,$8.4 B,France,diversified,254,65,Diversified 
255,Marie-Hélène Habert-Dassault ,$8.4 B,France,diversified,254,57,Diversified 
256,Liu Jincheng & family ,$8.4 B,China,lithium batteries,254,57,Technology 
257,Ma Jianrong & family ,$8.4 B,China,"textiles, apparel",254,58,Fashion & Retail 
258,Steven Rales ,$8.4 B,United States,"manufacturing, investments",254,71,Manufacturing 
259,Joseph Tsai ,$8.4 B,Canada,e-commerce,254,58,Technology 
260,Francine von Finck & family ,$8.4 B,Germany,investments,254,64,Finance & Investments 
261,Anthony von Mandl ,$8.4 B,Canada,alcoholic beverages,254,72,Food & Beverage 
262,Carl Bennet ,$8.3 B,Sweden,investments,263,70,Finance & Investments 
263,Robert Kraft ,$8.3 B,United States,New England Patriots,263,80,Sports 
264,Chairul Tanjung ,$8.3 B,Indonesia,diversified,263,59,Diversified 
265,Manuel Villar ,$8.3 B,Philippines,real estate,263,72,Real Estate 
266,Jean-Michel Besnier ,$8.2 B,France,cheese,267,54,Food & Beverage 
267,Marie Besnier Beauvalot ,$8.2 B,France,cheese,267,41,Food & Beverage 
268,Gustaf Douglas ,$8.2 B,Sweden,investments,267,84,Diversified 
269,Kjeld Kirk Kristiansen ,$8.2 B,Denmark,Lego,267,74,Manufacturing 
270,Sofie Kirk Kristiansen ,$8.2 B,Denmark,Lego,267,46,Manufacturing 
271,Thomas Kirk Kristiansen ,$8.2 B,Denmark,Lego,267,43,Manufacturing 
272,Stephen Ross ,$8.2 B,United States,real estate,267,81,Real Estate 
273,Agnete Kirk Thinggaard ,$8.2 B,Denmark,Lego,267,38,Manufacturing 
274,Marc Benioff ,$8.1 B,United States,business software,275,57,Technology 
275,Dmitri Bukhman ,$8.1 B,Israel,online games,275,36,Media & Entertainment 
276,Igor Bukhman ,$8.1 B,Israel,online games,275,40,Media & Entertainment 
277,Francis Choi ,$8.1 B,Hong Kong,real estate,275,74,Real Estate 
278,Murali Divi & family ,$8.1 B,India,pharmaceuticals,275,71,Healthcare 
279,Nancy Walton Laurie ,$8.1 B,United States,Walmart,275,70,Fashion & Retail 
280,Georg Schaeffler ,$8.1 B,Germany,auto parts,275,57,Automotive 
281,Yao Liangsong ,$8.1 B,China,furniture,275,57,Manufacturing 
282,Zhong Huijuan ,$8.1 B,China,pharmaceuticals,275,61,Healthcare 
283,Stewart & Lynda Resnick ,$8 B,United States,"agriculture, water",284,64,Food & Beverage 
284,George Roberts ,$8 B,United States,private equity,284,78,Finance & Investments 
285,Michael Rubin ,$8 B,United States,online retail,284,49,Fashion & Retail 
286,Patrick Ryan ,$8 B,United States,insurance,284,84,Finance & Investments 
287,Christopher Hohn ,$7.9 B,United Kingdom,hedge funds,288,55,Finance & Investments 
288,Marijke Mars ,$7.9 B,United States,"candy, pet food",288,57,Food & Beverage 
289,Pamela Mars ,$7.9 B,United States,"candy, pet food",288,61,Food & Beverage 
290,Valerie Mars ,$7.9 B,United States,"candy, pet food",288,63,Food & Beverage 
291,Victoria Mars ,$7.9 B,United States,"candy, pet food",288,65,Food & Beverage 
292,Hasso Plattner & family ,$7.9 B,Germany,software,288,78,Technology 
293,Georg Stumpf ,$7.9 B,Austria,"real estate, construction",288,49,Diversified 
294,Christy Walton ,$7.9 B,United States,Walmart,288,73,Fashion & Retail 
295,Giorgio Armani ,$7.8 B,Italy,luxury goods,296,87,Fashion & Retail 
296,Gopikishan Damani ,$7.8 B,India,"retail, investments",296,64,Fashion & Retail 
297,Ding Shizhong & family ,$7.8 B,China,sports apparel,296,51,Fashion & Retail 
298,Jim Kennedy ,$7.8 B,United States,"media, automotive",296,74,Media & Entertainment 
299,German Khan ,$7.8 B,Russia,"oil, banking, telecom",296,60,Energy 
300,Liang Wengen ,$7.8 B,China,construction equipment,296,65,Manufacturing 
301,Blair Parry-Okeden ,$7.8 B,United States,"media, automotive",296,71,Media & Entertainment 
302,Tsai Eng-meng ,$7.8 B,Taiwan,"food, beverages",296,65,Food & Beverage 
303,Bajaj siblings ,$7.7 B,India,"two-wheelers, finance",304,64,Automotive 
304,Ashwin Dani & family ,$7.7 B,India,paints,304,79,Manufacturing 
305,Ding Shijia ,$7.7 B,China,sports apparel,304,58,Fashion & Retail 
306,Karel Komarek ,$7.7 B,Czechia,"oil and gas, IT, lotteries",304,53,Gambling & Casinos 
307,Henry Kravis ,$7.7 B,United States,private equity,304,78,Finance & Investments 
308,Frederik Paulsen ,$7.7 B,Sweden,health care,304,71,Healthcare 
309,Safra siblings ,$7.7 B,Brazil,banking,304,64,Finance & Investments 
310,Nassef Sawiris ,$7.7 B,Egypt,"construction, investments",304,61,Construction & Engineering 
311,Xu Shihui ,$7.7 B,China,"snacks, beverages",304,64,Food & Beverage 
312,Rahel Blocher ,$7.6 B,Switzerland,chemicals,313,46,Manufacturing 
313,Shahid Khan ,$7.6 B,United States,auto parts,313,71,Automotive 
314,Magdalena Martullo-Blocher ,$7.6 B,Switzerland,chemicals,313,53,Manufacturing 
315,Vincent Bolloré & family ,$7.5 B,France,investments,316,70,Finance & Investments 
316,Jeffery Hildebrand ,$7.5 B,United States,oil,316,63,Energy 
317,Michael Kim ,$7.5 B,United States,private equity,316,58,Finance & Investments 
318,Richard Kinder ,$7.5 B,United States,pipelines,316,77,Energy 
319,David Shaw ,$7.5 B,United States,hedge funds,316,71,Finance & Investments 
320,John Malone ,$7.4 B,United States,cable television,321,81,Media & Entertainment 
321,Vicky Safra ,$7.4 B,Greece,banking,321,69,Finance & Investments 
322,Tim Sweeney ,$7.4 B,United States,video games,321,51,Media & Entertainment 
323,Mike Adenuga ,$7.3 B,Nigeria,"telecom, oil",324,68,Diversified 
324,David Green & family ,$7.3 B,United States,retail,324,80,Fashion & Retail 
325,"Paul Tudor Jones, II. ",$7.3 B,United States,hedge funds,324,67,Finance & Investments 
326,Yuri Milner ,$7.3 B,Israel,tech investments,324,60,Finance & Investments 
327,Henry Samueli ,$7.3 B,United States,semiconductors,324,67,Technology 
328,Patrick Soon-Shiong ,$7.3 B,United States,pharmaceuticals,324,69,Healthcare 
329,Antonia Ax:son Johnson & family ,$7.2 B,Sweden,diversified,330,78,Diversified 
330,Michael Kadoorie ,$7.2 B,Hong Kong,"hotels, energy",330,80,Energy 
331,Lin Shu-hong ,$7.2 B,Taiwan,petrochemicals,330,93,Manufacturing 
332,Niels Peter Louis-Hansen ,$7.2 B,Denmark,medical devices,330,74,Healthcare 
333,Reinhold Schmieding ,$7.2 B,United States,medical devices,330,67,Healthcare 
334,Wee Cho Yaw ,$7.2 B,Singapore,banking,330,93,Finance & Investments 
335,Silvio Berlusconi & family ,$7.1 B,Italy,media,336,85,Diversified 
336,Arthur Blank ,$7.1 B,United States,Home Depot,336,79,Sports 
337,Qian Dongqi & family ,$7.1 B,China,home-cleaning robots,336,64,Manufacturing 
338,J. Christopher Reyes ,$7.1 B,United States,food distribution,336,68,Food & Beverage 
339,Jude Reyes ,$7.1 B,United States,food distribution,336,66,Food & Beverage 
340,Nik Storonsky ,$7.1 B,United Kingdom,fintech,336,37,Finance & Investments 
341,Zhou Qunfei & family ,$7.1 B,Hong Kong,smartphone screens,336,52,Technology 
342,Deng Weiming & family ,$7 B,China,battery components,343,53,Manufacturing 
343,Judy Faulkner ,$7 B,United States,health IT,343,78,Technology 
344,Robin Li ,$7 B,China,internet search,343,53,Technology 
345,Carrie Perrodo & family ,$7 B,France,oil,343,71,Energy 
